EpisodeId,TopicId,Topic,Score
83,24031,Laughing,0.5178044466664797
83,3382,Parenting,0.5103932260728107
84,2015,Humour,0.5038310595827447
85,2015,Humour,0.6181303432391383
85,37745,Texting,0.5594372436725438
85,1163,Dating and Courtship,0.5478158648671149
85,3670,Random,0.53860175020644
85,16693,Flirting,0.5383409156756118
85,24031,Laughing,0.5312462322719169
85,12823,Cuddling,0.522495036526014
87,31929,Puns,0.515735589488865
87,1488,Families and Family Life,0.5035343235788521
87,2613,Lying,0.5011304035060538
88,1519,Fiction,0.5130359942161337
89,2386,Kissing,0.5626982137070883
89,3670,Random,0.5543332803761643
89,1163,Dating and Courtship,0.5485994520825164
89,16693,Flirting,0.5482184357010711
89,24031,Laughing,0.5386322253835946
89,1645,Friendship,0.5220270844469123
89,4118,South Park,0.5220200009371159
90,3670,Random,0.5837795338822349
90,24031,Laughing,0.5685973411851023
90,1163,Dating and Courtship,0.5529702993702799
90,2015,Humour,0.5218630865897433
90,32652,Relationships,0.5160503835416722
90,1011,Comedy,0.5109342445854813
90,31929,Puns,0.5078134239934183
91,24031,Laughing,0.5630170567538718
91,869,Cheating,0.561817746662726
91,16693,Flirting,0.5316557636790509
91,3670,Random,0.5054780131949475
91,2015,Humour,0.5039783916308669
92,3670,Random,0.5499669109599641
92,2015,Humour,0.5455688979144407
92,8449,Beards,0.5294874953247599
92,24031,Laughing,0.5177871764577963
93,1519,Fiction,0.5009956052245357
94,1645,Friendship,0.507018790614896
94,27711,Motherhood,0.501354661231213
96,16693,Flirting,0.5059462461658516
96,1519,Fiction,0.5019870819330543
97,1488,Families and Family Life,0.5368616705793239
97,1791,Grandparents,0.5183611172050372
97,1519,Fiction,0.5156091715570945
97,3382,Parenting,0.5147345705419196
97,3670,Random,0.503343046274939
98,1519,Fiction,0.5326732434893563
98,32652,Relationships,0.5229863822608113
98,16693,Flirting,0.5109549307594217
98,2015,Humour,0.5058820729542975
100,1775,Gossip Girl,0.5315211612710172
100,16693,Flirting,0.5258097195548437
100,2761,Men,0.5233790747372162
100,1305,Dreams,0.513277376498676
100,34671,Seduction,0.5051429799136251
100,27711,Motherhood,0.5012952832718768
101,16693,Flirting,0.507454939625413
103,16693,Flirting,0.542229388319713
103,4676,Valentine's Day,0.539340568939863
103,1163,Dating and Courtship,0.5347344854622892
103,40,Adultery,0.5338189697110814
103,12823,Cuddling,0.5045253836940097
103,32652,Relationships,0.5033347118849132
103,4031,Single Persons,0.5011365636302293
104,16693,Flirting,0.5196576304158815
105,1163,Dating and Courtship,0.556950646038464
105,16693,Flirting,0.5323605441017659
105,32652,Relationships,0.5113558921323939
105,1437,Erotica,0.5108821509074601
105,35372,Singing,0.5106286546829493
105,12796,Crying,0.5079963535065578
106,3670,Random,0.5707206622348847
106,542,Birthdays,0.5308869520648247
106,1488,Families and Family Life,0.51809298878622
106,12883,Cuteness,0.5140773758749877
106,3385,Paris Hilton,0.5073362641908268
107,2613,Lying,0.5362681730455076
107,2015,Humour,0.5217088540917988
107,3963,"Seattle, Washington",0.5170143012592765
108,31929,Puns,0.5375710765716036
108,1488,Families and Family Life,0.5238160415492893
108,24031,Laughing,0.5198468834190136
108,2015,Humour,0.5163531318350741
108,27711,Motherhood,0.5097458383374219
108,4118,South Park,0.5029556469935421
109,8476,Bed,0.5806449111414506
109,3670,Random,0.5252462159260328
109,1645,Friendship,0.5236481720374989
109,2015,Humour,0.5220437298522006
109,1163,Dating and Courtship,0.5077606230116102
109,32652,Relationships,0.5025172044489372
111,1011,Comedy,0.5336154653568486
111,2386,Kissing,0.5169213662834785
112,1011,Comedy,0.5322207955782657
112,2386,Kissing,0.5174314880483677
113,1163,Dating and Courtship,0.546717497024548
113,27711,Motherhood,0.5299759370148819
113,16693,Flirting,0.5269950740245017
113,4118,South Park,0.5241588613520467
113,3670,Random,0.5107892154762972
113,1499,Father's Day,0.5047305145295828
113,4170,Stalking ,0.5013892055182062
114,3382,Parenting,0.5655556446853262
114,1488,Families and Family Life,0.5442364309687733
114,27711,Motherhood,0.5385290002868616
114,3670,Random,0.536827804811947
114,24031,Laughing,0.5211190155366068
114,1499,Father's Day,0.5143433972350371
114,12883,Cuteness,0.5130157903198559
115,3670,Random,0.5430704106897886
116,31767,Procrastination,0.5108601896024489
116,4252,Subways,0.5097720065973346
117,1163,Dating and Courtship,0.5420767126179136
117,2015,Humour,0.5236190584512026
117,1645,Friendship,0.5112958573804581
117,4062,Snakes,0.5055784049963334
118,1511,Feminism,0.525478282560834
118,3670,Random,0.5210710446588567
118,4118,South Park,0.5205874480860105
118,27711,Motherhood,0.516090193146629
118,3382,Parenting,0.5158722415424329
118,1163,Dating and Courtship,0.5103359155782571
118,1645,Friendship,0.5094494523129887
119,24031,Laughing,0.5601495561083654
119,2015,Humour,0.5128363242420371
119,4118,South Park,0.5059511342241323
119,35582,Smiling,0.5002511883063229
120,2015,Humour,0.5265510687031546
121,1645,Friendship,0.5385588025748776
121,18040,Glitter,0.5294938530041152
121,3382,Parenting,0.528971335410553
121,1775,Gossip Girl,0.5185660049630167
121,4118,South Park,0.5160952904867669
121,27711,Motherhood,0.5050270297284638
122,2015,Humour,0.6066964707372546
122,1011,Comedy,0.5469214984003534
122,4118,South Park,0.53522675698296
122,4964,Zombies,0.5253557233930256
122,12796,Crying,0.5214621697542525
122,1519,Fiction,0.5197272241006103
122,24031,Laughing,0.5155861111552581
123,1645,Friendship,0.5570655614361758
123,2015,Humour,0.5499092841298684
123,3670,Random,0.5355713930285924
123,27711,Motherhood,0.522814263530734
123,12685,Creative Writing,0.5031882672971726
124,24031,Laughing,0.5478768201809536
124,2015,Humour,0.5388064727714094
124,1866,Happiness,0.5211601083248392
124,3382,Parenting,0.5140478042398247
125,3382,Parenting,0.5349891623836496
125,4118,South Park,0.5014936765462759
126,2015,Humour,0.5855212640163426
126,24031,Laughing,0.5561004050861864
126,27711,Motherhood,0.5407434939575276
126,1499,Father's Day,0.5393744567649658
126,12883,Cuteness,0.525906727037931
126,1163,Dating and Courtship,0.5228000570237819
126,1194,Death and Dying,0.5085781127120668
127,1645,Friendship,0.5549054959202634
127,1488,Families and Family Life,0.5498628668259231
127,1973,Honey,0.5451550845647426
