EpisodeId,Word,Occurrences
165,picking,1
165,come,5
165,goddess,2
165,last,4
165,joke,2
165,taking,3
165,nerds,1
165,connection,1
165,dated,2
165,Yes,2
165,argue,1
165,invites,1
165,comes,1
165,Guess,1
165,tough,1
165,Ms,1
165,headed,1
165,sweet,2
165,Hey,10
165,laugh,3
165,cr,1
165,Sorry,2
165,Lily,3
165,considering,1
165,late,3
165,puts,1
165,locally,1
165,Southern,2
165,three,1
165,But,11
165,dug,1
165,secret,1
165,Train,1
165,Just,3
165,Women,1
165,wants,5
165,life,2
165,Six,1
165,chub,2
165,deeper,1
165,remark,1
165,hmm,3
165,lives,1
165,deep,1
165,gross,1
165,And,7
165,bye,1
165,Marshall,8
165,cracker,1
165,Who,1
165,Holmes,1
165,weren,1
165,neat,1
165,smart,1
165,fun,1
165,situation,1
165,voice,2
165,Any,1
165,toothbrushes,1
165,ve,8
165,eventually,1
165,Testify,1
165,bros,1
165,sleeping,1
165,couples,1
165,shame,1
165,lonely,1
165,ready,4
165,partner,1
165,You,16
165,leaving,1
165,Fudge,1
165,around,1
165,grown,1
165,different,1
165,Narrator,2
165,Squirrel,1
165,things,6
165,make,4
165,split,1
165,babies,1
165,big,4
165,gets,1
165,week,1
165,meets,1
165,novels,1
165,I,118
165,drink,1
165,Oprah,2
165,hand,1
165,moment,1
165,uses,1
165,cleaning,1
165,six,1
165,kid,1
165,drain,1
165,older,1
165,well,6
165,It,10
165,asked,2
165,thought,3
165,person,1
165,without,2
165,In,1
165,lesbian,3
165,Although,1
165,Can,1
165,stammering,1
165,Thank,3
165,half,1
165,kill,1
165,thanks,1
165,nightingale,1
165,Surprise,1
165,tamed,1
165,density,1
165,point,2
165,seems,1
165,Victoria,15
165,spread,1
165,crying,2
165,crack,1
165,snap,1
165,jars,1
165,pill,1
165,surprised,1
165,holding,4
165,Oh,25
165,Did,1
165,Of,2
165,couple,3
165,possible,1
165,Air,1
165,dark,1
165,five,3
165,know,14
165,judge,1
165,world,1
165,bit,4
165,lady,1
165,wings,1
165,dreams,1
165,like,10
165,d,2
165,lost,1
165,BreakupsOriginal,1
165,audience,2
165,laughing,5
165,night,11
165,nosh,1
165,become,1
165,nice,1
165,kennel,1
165,trying,1
165,right,12
165,old,4
165,grub,1
165,people,3
165,understand,1
165,spring,1
165,back,14
165,sighs,3
165,Seriously,1
165,Whoo,1
165,Damn,1
165,counts,2
165,Listen,1
165,Honey,1
165,total,1
165,dropping,1
165,Men,1
165,pes,1
165,Met,1
165,asking,1
165,Facebook,1
165,shopaholic,1
165,happened,1
165,Ha,3
165,He,3
165,Boy,1
165,run,1
165,Look,4
165,squirrel,2
165,corn,1
165,lose,1
165,Um,6
165,hung,1
165,Uh,5
165,keeper,1
165,sister,2
165,working,1
165,oh,2
165,months,2
165,side,1
165,Autumn,1
165,dinner,3
165,act,1
165,slightly,1
165,Best,1
165,pastries,1
165,ladies,1
165,garbage,1
165,No,10
165,commitment,2
165,chime,1
165,next,2
165,impressed,1
165,deal,1
165,aren,1
165,altitude,1
165,constantly,1
165,hey,2
165,long,1
165,noticed,1
165,much,6
165,inner,2
165,way,3
165,appe,1
165,November,1
165,Come,1
165,happy,4
165,media,1
165,head,2
165,invite,3
165,offer,2
165,becoming,1
165,bitches,1
165,Well,4
165,idea,2
165,feminine,1
165,hear,1
165,ha,1
165,eat,2
165,reset,1
165,wise,2
165,places,1
165,understood,1
165,wife,2
165,Ted,16
165,us,5
165,um,2
165,un,2
165,nicest,1
165,uh,2
165,sobbing,2
165,Anything,1
165,called,1
165,Sir,1
165,gather,1
165,Sprinkles,2
165,forgot,1
165,doesn,1
165,unreasonable,1
165,How,3
165,single,1
165,lived,1
165,chat,1
165,girlfriend,2
165,pit,1
165,happen,1
165,Or,1
165,knows,1
165,ingredients,1
165,na,7
165,percent,1
165,popping,2
165,Besides,1
165,Whom,1
165,tie,1
165,boob,1
165,realize,1
165,Man,1
165,Great,1
165,Like,1
165,gasps,3
165,crime,1
165,important,1
165,friends,6
165,ago,2
165,calls,1
165,phone,1
165,Ah,1
165,Yeah,5
165,together,2
165,exhausting,1
165,As,1
165,compete,1
165,Bitch,1
165,time,4
165,push,2
165,fresh,1
165,baked,1
133,Perfect,1
133,since,2
133,forget,2
133,chinese,1
133,dance,1
133,focus,1
133,four,6
133,sleep,1
133,gang,2
133,hanging,1
133,go,11
133,Dawes,1
133,Bye,1
133,milk,1
133,Stinson,1
133,Dad,1
133,someplace,1
133,Someone,1
133,buddy,2
133,father,3
133,young,1
133,finally,2
133,dairy,1
133,whatsoever,1
133,Bottoms,2
133,Not,4
