EpisodeId,Character,Actor
11,Lily Aldrin,Alyson Hannigan
11,Marybeth,Kathleen Rose Perkins
11,Daughter,Lyndsy Fonseca
11,Son,David Henrie
11,Ranjit,Marshall Manesh
11,Not Moby,J.P. Manoux
11,Natalya,Natalie Denise Sperl
11,Derek,James Tupper
11,New Years Guest (uncredited),Christina Putnam
11,Narrator (voice) (uncredited),Bob Saget
12,Ted Mosby,Josh Radnor
12,Marshall Eriksen,Jason Segel
12,Robin Scherbatsky,Cobie Smulders
12,Barney Stinson,Neil Patrick Harris
12,Lily Aldrin,Alyson Hannigan
12,Victoria,Ashley Williams
12,Claudia,Virginia Williams
12,Stuart,Matt Boren
12,Narrator (voice) (uncredited),Bob Saget
13,Ted Mosby,Josh Radnor
13,Marshall Eriksen,Jason Segel
13,Robin Scherbatsky,Cobie Smulders
13,Barney Stinson,Neil Patrick Harris
13,Lily Aldrin,Alyson Hannigan
13,Victoria,Ashley Williams
13,Claudia,Virginia Williams
13,Stuart,Matt Boren
13,Tanya (as Napiera Danielle Groves),Napiera Groves
13,Masseuse,Kelly Stables
13,Narrator (voice) (uncredited),Bob Saget
14,Ted Mosby,Josh Radnor
14,Marshall Eriksen,Jason Segel
14,Robin Scherbatsky,Cobie Smulders
14,Barney Stinson,Neil Patrick Harris
14,Lily Aldrin,Alyson Hannigan
14,Victoria,Ashley Williams
14,Ava,Vivian Bang
14,Dumped Friend,Sarah Loew
14,Narrator (voice) (uncredited),Bob Saget
15,Ted Mosby,Josh Radnor
15,Marshall Eriksen,Jason Segel
15,Robin Scherbatsky,Cobie Smulders
15,Barney Stinson,Neil Patrick Harris
15,Lily Aldrin,Alyson Hannigan
15,Victoria,Ashley Williams
15,Shannon,Katie Walder
15,Greg,Mark Derwin
15,Judy Eriksen,Suzie Plakson
15,Ranjit,Marshall Manesh
15,Screaming Boy,Michael McNeely
15,Narrator (voice) (uncredited),Bob Saget
16,Ted Mosby,Josh Radnor
16,Marshall Eriksen,Jason Segel
16,Robin Scherbatsky,Cobie Smulders
16,Barney Stinson,Neil Patrick Harris
16,Lily Aldrin,Alyson Hannigan
16,Victoria,Ashley Williams
16,Bridal Shop Lady,Caroline Lagerfelt
16,Sergei the Tailor,Sergey Brusilovsky
16,Narrator (voice) (uncredited),Bob Saget
17,Ted Mosby,Josh Radnor
17,Marshall Eriksen,Jason Segel
17,Robin Scherbatsky,Cobie Smulders
17,Barney Stinson,Neil Patrick Harris
17,Lily Aldrin,Alyson Hannigan
17,Bilson,Bryan Callen
17,Gary Blauman,Taran Killam
17,Dr. Aurelia Birnholz-Vazquez (as Diane Louise Salinger),Diane Salinger
17,Young Marshall,Tyler Peterson
17,Karaoke DJ,Gregor Manns
17,Narrator (voice) (uncredited),Bob Saget
17,Bar Patron (uncredited),Randy Vinneau
18,Ted Mosby,Josh Radnor
18,Marshall Eriksen,Jason Segel
18,Robin Scherbatsky,Cobie Smulders
18,Barney Stinson,Neil Patrick Harris
18,Lily Aldrin,Alyson Hannigan
18,Victoria,Ashley Williams
18,Sandy Rivers,Alexis Denisof
18,Korean Elvis (as George Kee Cheung),George Cheung
18,Cab Driver #1,Lawrence Mandley
18,Little Girl #1,Cailey Blair Jones
18,Little Girl #2,Alyssa Shafer
18,Little Boy #1,Shaheed Rasheed
18,Narrator (voice) (uncredited),Bob Saget
19,Ted Mosby,Josh Radnor
19,Marshall Eriksen,Jason Segel
19,Robin Scherbatsky,Cobie Smulders
19,Barney Stinson,Neil Patrick Harris
19,Lily Aldrin,Alyson Hannigan
19,Sandy Rivers,Alexis Denisof
19,Mary,Erinn Bartlett
19,Vampire Lou,Robert Michael Morris
19,Awards Show Announcer (uncredited),Michael 'Mick' Harrity
19,Narrator (voice) (uncredited),Bob Saget
20,Ted Mosby,Josh Radnor
20,Marshall Eriksen,Jason Segel
20,Robin Scherbatsky,Cobie Smulders
20,Barney Stinson,Neil Patrick Harris
20,Lily Aldrin,Alyson Hannigan
20,Scooter,David Burtka
20,Mr. Corker,Ira Ungerleider
20,Todd Epstein (as Alek Friedman),Alek Lev
20,Keith,Keith Slettedahl
20,Sean,John Reha
